Gaming_Need,Battery_Need,Photography_Need,Performance_Need,Large_Display_Need,HighRes_Need,Multitask_Need,Budget_King_Need,Midrange_Value_Need,Premium_Luxury_Need
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0
1,0,1,1,0,0,1,0,0,1
1,1,1,0,0,1,1,0,0,1
0,0,0,0,0,0,1,0,1,0
1,1,1,1,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0
1,0,0,1,1,0,1,0,0,1
1,0,0,1,0,0,1,0,1,0
1,0,0,1,1,0,1,0,0,1
1,0,0,1,1,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0
1,0,1,1,0,0,1,0,1,0
0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,0,1,0,0,1
1,1,1,1,1,0,1,0,0,1
1,1,0,1,1,1,1,0,0,1
0,0,0,1,1,0,1,0,0,1
1,0,0,1,1,0,1,0,0,1
1,1,1,1,0,1,1,0,0,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,1,1,0,1,0
0,1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,1,0,1,0
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
1,0,1,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,0,1,0,0,1
0,1,1,0,1,0,1,0,0,1
1,1,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,0,0,0,0,1
1,0,1,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,0
0,0,0,1,0,1,0,0,1,0
0,0,0,1,0,1,0,0,0,1
0,0,1,1,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,1
1,0,1,1,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,0,0,1
1,0,0,1,1,1,0,0,0,1
0,0,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,0,0,1
1,0,1,1,0,1,1,0,0,1
1,0,1,1,1,1,1,0,0,1
0,0,0,1,0,1,0,0,0,1
1,0,0,1,0,1,1,0,0,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,1,1,0,0,1
1,0,0,1,1,1,1,0,0,1
0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,1,0,1,0
0,1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
1,0,0,1,1,0,1,0,0,1
1,0,0,1,1,0,0,0,0,1
1,1,0,1,1,0,1,0,0,1
1,1,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,1,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,1,0,0,1,1,0,1,0,0
1,0,1,1,0,0,0,0,0,1
1,1,0,1,1,0,1,0,0,1
1,1,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,1,0,0,1
1,0,0,1,1,1,1,0,0,1
1,0,0,1,1,1,1,0,0,1
1,1,1,1,1,0,1,0,0,1
1,1,0,1,1,0,1,0,0,1
1,0,0,1,0,1,1,0,0,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,1,0,0,1
1,1,0,1,0,1,1,0,0,1
1,1,0,1,0,0,1,0,0,1
0,1,0,0,0,0,0,0,1,0
1,1,1,1,0,1,1,0,0,1
1,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,0,1,0,1,1,0,0,1
1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,1,0,1,0
0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0
0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,0
1,1,1,1,0,1,1,0,0,1
0,1,1,0,0,0,0,0,1,0
0,1,1,0,0,1,1,0,0,1
0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,0
