Link,Chipset,Antutu_11,Clock,GPU,Architecture
/en/soc/qualcomm-snapdragon-8-elite-2,Snapdragon 8 Elite Gen 5,3932243,4610 MHz,Adreno 840,2x 4.61 GHz – Oryon Gen 3 Prime | 6x 3.63 GHz – Oryon Gen 3 Performance
/en/soc/apple-a19-pro,A19 Pro,2606807,4260 MHz,Apple A19 Pro GPU,2x 4.26 GHz – Everest | 4x 2.6 GHz – Sawtooth
/en/soc/mediatek-dimensity-9500,Dimensity 9500,3508681,4210 MHz,Mali-G1 Ultra MP12,1x 4.21 GHz – C1-Ultra | 3x 3.5 GHz – C1-Premium | 4x 2.7 GHz – C1-Pro
/en/soc/samsung-exynos-2600,Exynos 2600,3145925,3800 MHz,Samsung Xclipse 960,1x 3.8 GHz – C1-Ultra | 3x 3.25 GHz – C1-Pro | 6x 2.75 GHz – C1-Pro
/en/soc/qualcomm-snapdragon-8-gen-4,Snapdragon 8 Elite (Gen 4),3336910,4320 MHz,Adreno 830,2x 4.32 GHz – Oryon (Phoenix L) | 6x 3.53 GHz – Oryon (Phoenix M)
/en/soc/apple-a19,Apple A19,2239708,4260 MHz,Apple A19 GPU,2x 4.26 GHz – Everest | 4x 2.6 GHz – Sawtooth
/en/soc/mediatek-dimensity-9500s,Dimensity 9500s,3041307,3730 MHz,Mali-G925  MP12,1x 3.73 GHz – Cortex-X925 | 3x 3.3 GHz – Cortex-X4 | 4x 2.4 GHz – Cortex-A720
/en/soc/mediatek-dimensity-9400-plus,Dimensity 9400 Plus,2874956,3730 MHz,Mali-G925  MP12,1x 3.73 GHz – Cortex-X925 | 3x 3.3 GHz – Cortex-X4 | 4x 2.4 GHz – Cortex-A720
/en/soc/mediatek-dimensity-9400,Dimensity 9400,2825187,3620 MHz,Mali-G925  MP12,1x 3.62 GHz – Cortex-X925 | 3x 3.3 GHz – Cortex-X4 | 4x 2.4 GHz – Cortex-A720
/en/soc/qualcomm-snapdragon-8-gen-5,Snapdragon 8 Gen 5,3082388,3800 MHz,Adreno 829,2x 3.8 GHz – | 6x 3.32 GHz –
/en/soc/xiaomi-xring-o1,Xring O1,2998904,3900 MHz,Mali-G925  MP16,2x 3.9 GHz – Cortex-X925 | 4x 3.4 GHz – Cortex-A725 | 2x 1.9 GHz – Cortex-A725 | 2x 1.8 GHz – Cortex-A520
/en/soc/apple-a18,Apple A18,1918031,4050 MHz,Apple A18 GPU,2x 4.05 GHz – Everest | 4x 2.42 GHz – Sawtooth
/en/soc/samsung-exynos-2500,Exynos 2500,2420011,3300 MHz,Samsung Xclipse 950,1x 3.3 GHz – Cortex-X925 | 2x 2.74 GHz – Cortex-A725 | 5x 2.36 GHz – Cortex-A725 | 2x 1.8 GHz – Cortex-A520
/en/soc/apple-a18-pro,A18 Pro,1808835,4050 MHz,Apple A18 Pro GPU,2x 4.05 GHz – Everest | 4x 2.42 GHz – Sawtooth
/en/soc/mediatek-dimensity-9300,Dimensity 9300,2415558,3250 MHz,Mali-G720  MP12,1x 3.25 GHz – Cortex-X4 | 3x 2.85 GHz – Cortex-X4 | 4x 2 GHz – Cortex-A720
/en/soc/mediatek-dimensity-9400e,Dimensity 9400e,2474831,3400 MHz,Mali-G720  MP12,1x 3.4 GHz – Cortex-X4 | 3x 2.85 GHz – Cortex-X4 | 4x 2 GHz – Cortex-A720
