Unnamed, 0,Name,Price,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Tần số quét,Kiểu màn hình,Quay video,Tính năng camera,Quay video trước,GPU,GPS,Kích thước,Trọng lượng,Công nghệ sạc,Cổng sạc,"Chỉ số kháng nước, bụi",Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thời điểm ra mắt,Dung lượng RAM,Pin,Hồng ngoại,Hỗ trợ mạng,Cảm biến vân tay,Chất liệu mặt lưng,Chất liệu khung viền,Công nghệ - Tiện ích,Tương thích,Jack tai nghe 3.5,Tiện ích khác,Công nghệ âm thanh,Khe cắm thẻ nhớ,Hệ thống làm mát,Cảm biến,Loại màn hình
0,0,iPhone 17 Pro 256GB | Chính hãng,33.790.000đ,https://cellphones.com.vn/iphone-17-pro.html,6.3 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2622 x 1206  pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,120Hz,Dynamic Island,"Quay video 4K Dolby Vision 24/25/30/60/100/120 fps, 1080p 25/30/60/120 fps, Cinematic 4K 30 fps, Action Mode 2.8K 60 fps, Slow-motion 1080p 240 fps và 4K 120 fps, QuickTake 4K 60 fps, ProRes 4K 120 fps, ProRes RAW, Apple Log 2, ACES, Genlock, chống rung q","Zoom số 40x, Ống kính tùy chỉnh Fusion Main, Kính sapphire, Flash True Tone Thích Ứng, Photonic Engine, Deep Fusion, HDR 5, Ảnh chân dung mới với Lấy nét và Điều khiển độ sâu, Chiếu sáng chân dung 6 chế độ, Chế độ Ban Đêm, Panorama 63MP, Phong cách nhiếp","Quay video 4K Dolby Vision 24/25/30/60 fps, 1080p 25/30/60 fps, Cinematic 4K 30 fps, Quay chậm 1080p 120 fps, QuickTake, Chống rung OIS, HDR, ProRes, Apple Log 2",GPU 6 lõi với Neural Accelerator,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",150 x 71.9 x 8.75 mm,204g,Sạc không dây MagSafe lên đến 25WSạc không dây Qi2 lên đến 25W,USB Type-C,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút) theo tiêu chuẩn IEC 60529,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7 (802.11be) với 2x2 MIMO11,Bluetooth 6,09/2025,,,,,,,,,,,,,,,,
1,1,OPPO Find X9s 12GB 256GB,24.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-x9s.html,6.59 inches,AMOLED,Góc siêu rộng: 50MP; Góc rộng: 50MP; Telephoto: 50MP,32MP,MediaTek Dimensity 9500s,Có,256 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,ColorOS 16.0,1256 x 2760 pixels,"Tần số lấy mẫu cảm ứng 240Hz, 1.07 tỷ màu (10 bits), 100% DCI-P3, 460 PPI, Độ sáng tối đa 1800nits (HBM), Kính bảo vệ Corning® Gorilla® Glass 7i",8 nhân,120Hz,Đục lỗ (Nốt ruồi),"4K (60/30 fps), 1080P (60/30 fps), 720P (30 fps); SLO-MO 1080P (240 fps); TIME-LAPSE 4K (30 fps)","AF, OIS, Chân dung, Ban đêm, XPAN, Master, Video điện ảnh (Cinematic), Video hiển thị kép, Zoom quang học 3x","4K (60/30 fps), 1080P (60/30 fps), 720P (30 fps)",Immortalis G925 MC12@1612 MHz,"GPS(L1+L5), GLONASS, BDS, Galileo, QZSS, NavIC, A-GPS",156.98 x 73.93 x 7.99 mm,202g,Sạc nhanh SUPERVOOCTM 80W,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt","Wi-Fi 7, Wi-Fi 6, Wi-Fi 5, hỗ trợ băng thông 160MHz/320MHz, 2x2 MIMO",v6.1,5/2025,12 GB,7025 mAh,Có,5G,Cảm biến vân tay dưới màn hình,,,,,,,,,,,
2,2,Samsung Galaxy S26 Ultra 12GB 256GB,30.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra.html,6.9 inches,Dynamic AMOLED 2X,Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP,12MP,Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm),Có,256 GB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,120Hz,Đục lỗ (Nốt ruồi),,Zoom quang học 100xKhoá Đường Chân Trời chuẩn điện ảnh (Horizontal Lock)Quay Log VideoChế độ quay phim 10-bit HDRChế độ Chân dungTự động lấy nétQuay Video đêm,,,Có,163.6 x 78.1 x 7.9mm,214g,Hỗ trợ sạc tối đa 60W,USB Type-C,IP68,,"Hỗ trợ 5G, Bảo mật vân tay, Kháng nước, kháng bụi",Có,Có,03/2026,12 GB,5000 mAh,,5G,Cảm biến vân tay dưới màn hình,Kính,Nhôm,Privacy Display (Chống nhìn trộm chủ động)Chỉnh sửa ảnh thế hệ mớiKhông gian sáng tạoGợi ý thông minhKhoanh tròn để tìm kiếmLọc cuộc gọi tự độngProscaler & 10-bit mDNIe,,,,,,,,
3,3,iPhone 17 Pro Max 256GB | Chính hãng,36.990.000đ,https://cellphones.com.vn/iphone-17-pro-max.html,6.9 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2868 x 1320 pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,120Hz,Dynamic Island,"Quay video 4K Dolby Vision 24/25/30/60/100/120 fps, 1080p 25/30/60/120 fps, Cinematic 4K 30 fps, Action Mode 2.8K 60 fps, Slow-motion 1080p 240 fps và 4K 120 fps, QuickTake 4K 60 fps, ProRes 4K 120 fps, ProRes RAW, Apple Log 2, ACES, Genlock, chống rung q","Zoom số 40x, Ống kính tùy chỉnh Fusion Main, Kính sapphire, Flash True Tone Thích Ứng, Photonic Engine, Deep Fusion, HDR 5, Ảnh chân dung mới với Lấy nét và Điều khiển độ sâu, Chiếu sáng chân dung 6 chế độ, Chế độ Ban Đêm, Panorama 63MP, Phong cách nhiếp","Quay video 4K Dolby Vision 24/25/30/60 fps, 1080p 25/30/60 fps, Cinematic 4K 30 fps, Quay chậm 1080p 120 fps, QuickTake, Chống rung OIS, HDR, ProRes, Apple Log 2",GPU 6 lõi với Neural Accelerator,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC","163,4 x 78,0 x 8,75 mm",231 g,Sạc không dây MagSafe lên đến 25WSạc không dây Qi2 lên đến 25W,USB Type-C,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút) theo tiêu chuẩn IEC 60529,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7 (802.11be) với 2x2 MIMO11,Bluetooth 6,09/2025,,,,5G,,,,,Tương thích với thiết bị trợ thính,,,,,,,
4,4,Samsung Galaxy S26 12GB 256GB,20.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26.html,6.3 inches,Dynamic AMOLED 2X,Camera siêu rộng: 12MPCamera góc rộng: 50MPCamera Tele: 10MP,12MP,Exynos 2600 (2nm),Có,256 GB,2 Nano-SIM + eSIM,,2340 x 1080-pixel,Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,120Hz,Đục lỗ (Nốt ruồi),,Khoá Đường Chân Trời chuẩn điện ảnh (Horizontal Lock)Quay Log VideoChế độ quay phim 10-bit HDRChế độ Chân dungTự động lấy nétQuay Video đêm,,,Có,149.6 x 71.7 x 7.2mm,167g,Hỗ trợ sạc tối đa 25W,USB Type-C,IP68,,"Hỗ trợ 5G, Bảo mật vân tay, Kháng nước, kháng bụi, Điện thoại AI",Có,Có,03/2026,12 GB,4300 mAh,,5G,Cảm biến vân tay dưới màn hình,Kính,Nhôm,Chỉnh sửa ảnh thế hệ mới (Photo Assist)Không gian sáng tạo (Creative Studio)Gợi ý thông minh (Now Nudge)Khoanh tròn để tìm kiếm (Circle to Search)Lọc cuộc gọi tự động (Call Screening)Proscaler & 10-bit mDNIe,,,,,,,,
5,5,iPhone 17 256GB | Chính hãng,23.990.000đ,https://cellphones.com.vn/iphone-17-256gb.html,6.3 inches,Super Retina XDR OLED,48MP Fusion Main f/1.6 OIS12MP Tele 2x f/1.6 OIS48MP Ultra Wide f/2.2 120°,"18MP Center Stage, f/1.9, PDAF",Apple A19,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2622 x 1206  pixels,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),120Hz,Dynamic Island,4K Dolby Vision 24/25/30/60fps2.8K Dolby Vision 60fps (Action Mode)1080p Dolby Vision 25/30/60fps1080p slo-mo 120/240fps720p Dolby Vision 30fpsVideo không gian 1080p 30fpsGhi hình kép 4K 30fps,"Fusion MainZoom quang học 0.5x, 1x, 2xĐèn Flash True TonePhotonic EngineDeep FusionSmart HDR 5Ảnh chân dungÁnh sáng chân dung (6 chế độ)Chụp đêmNhiếp ảnh thế hệ mớiChụp ảnh macroẢnh không gian",4K Dolby Vision 24/25/30/60fps1080p Dolby Vision 25/30/60fps1080p slo-mo 120fps,GPU 5 lõi với Neural Accelerator,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",149.6 × 71.5 × 7.95 mm,177 g,Sạc không dây MagSafe 25WSạc không dây Qi2 25W,USB Type-C,IP68Chống nước tối đa 6m trong 30 phút,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7,Bluetooth 6,09/2025,,Xem video: 30 giờXem video trực tuyến: 27 giờ,Không,5G,Không,Kính,Nhôm,Apple IntelligenceSiri mớiNút tác vụSOS khẩn cấpPhát hiện va chạmFace ID,,Không,FaceTime HD 1080pSharePlayAirPlay 4K HDR,Âm thanh không gianThu âm stereo,,,,
6,6,Samsung Galaxy S25 Ultra 12GB 256GB,26.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra.html,6.9 inches,Dynamic AMOLED 2X,"Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP""",12 MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,256 GB,2 Nano-SIM + eSIM,Android 15,3120 x 1440 pixels (Quad HD+),120Hz2600 nitsCorning® Gorilla® Armor 2,,120Hz,,,Chế độ quay phim 10-bit HDRQuay Log VideoZoom quang học 100xChụp hình Super HDRChân dungTự động lấy nétQuay Video đêm,,,Có,Dài 162.8mm - Ngang 77.6mm - Dày 8.2mm,218g,Sạc nhanh 45WSuper Fast Charging 2.0*Fast Wireless Charging 2.0Wireless PowerShare,USB Type-C,IP68,,"Hỗ trợ 5G, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI, Đi kèm bút cảm ứng",Có,Có,02-2025,12 GB,5000 mAh,,5G,Cảm biến vân tay trong màn hình,,Titanium,Thực hiện tác vụ liên ứng dụng bằng lời nói (Seamless Actions across Apps),,,Biên tập Video thông minh (Auto trim)Khoanh tròn để tìm kiếm (Circle to Search)Trợ lý cuộc gọi (Call Assist)Trợ lý chỉnh ảnh (Photo Assist),Lọc âm thanh (Audio Eraser),,,,
7,7,Điện thoại Itel P55 Plus NFC 8GB 256GB,2.990.000đ,https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html,6.6 inches,,Camera góc rộng: 50 MP,8 MP,Unisoc T606,Có,256 GB,,Android 13,,Tần số quét 90Hz,Octa-core Processor,90Hz,Đục lỗ (Nốt ruồi),,Chế độ toàn cảnhChế độ siêu đêmChân dung AI rõ nétChế độ chuyên nghiệpChế độ tua nhanh thời gian,,,,,,Sạc 45W,USB Type-C,,,Bảo mật vân tay,,,,8 GB,5000mAh,,4G,,,,Dynamic Bar,,,,,,,,
8,8,Samsung Galaxy A17 5G 8GB 128GB,5.890.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a17-5g.html,6.7 inches,Super AMOLED,"Chính 50 MPPhụ 5 MP, 2 MP",13 MP,Exynos 1330,Có,128 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),Android 15,1080 x 2340 pixels (FullHD+),Độ sáng tối đa 800 nitsKính cường lực Corning Gorilla Glass 7,8 nhân (2 nhân 2.4 GHz & 6 nhân 2.0 GHz),90Hz,Giọt nước,HD 720p@120fpsFullHD 1080p@30fps,"Sau: Zoom quang học 10x, Xóa phông, AF, Time Lapse, Panorama, Macro, Slow Motion, Làm đẹp, OIS, Chế độ thức ăn, Pro, Night ModeTrước: Làm đẹp, Fun Sticker",,Mali-G68,"QZSS, GPS, GLONASS, GALILEO, BEIDOU",164.4 × 77.9 × 7.5 mm,192g,Sạc nhanh 25W,USB Type-C,IP54,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi","802.11 a/b/g/n/ac 2.4GHz+5GHz, WiFi Direct",v5.3,08/2025,8 GB,Li-Ion 5000 mAh,,5G,Cảm biến vân tay cạnh bên,Nhựa,Nhựa,"Mở khóa khuôn mặt, Smart Switch",,Không,"Ghi âm, Ghi âm cuộc gọi",,"MicroSD, hỗ trợ tối đa 2 TB",,,
9,9,iPhone Air 256GB | Chính hãng,22.890.000đ,https://cellphones.com.vn/iphone-air-256gb.html,6.5 inches,Super Retina XDR,48MP Fusion Main f/1.6,18MP Center Stage f/1.6,Chip A19 Pro,Có,256 GB,2 eSIM,iOS 26,2736 x 1260 pixels,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),120Hz,Dynamic Island,4K Dolby Vision 60 fpsCinematic 4K30Action Mode 2.8K60Slow-motion 1080p240QuickTake 4K60 HDR,"Chống rung quang học (OIS)Zoom quang học 1x, 2xĐèn Flash True TonePhotonic EngineDeep FusionSmart HDR 5Ảnh chân dungÁnh sáng chân dung (6 chế độ)Chụp đêmPhong cách nhiếp ảnh thế hệ mới",4K Dolby Vision 60 fpsGhi hình képCinematic ModeQuickTake 4K60 HDR,GPU 5 lõi với Neural Accelerator,"GPS, GLONASS, Galileo, QZSS, BeiDou, NavIC",156.2 × 74.7 × 5.6 mm,165 g,Sạc không dây MagSafe 20WSạc không dây Qi2 20W,USB Type-C,IP68Chống nước tối đa 6m trong 30 phút,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7,Bluetooth 6,09/2025,,Xem video: 27 giờXem video trực tuyến: 22 giờ,Không,5G,Không,Kính,Titanium,Apple IntelligenceSiri mớiNút tác vụSOS khẩn cấpPhát hiện va chạmFace ID,,Không,FaceTime HD 1080pSharePlayAirPlay 4K HDR,Âm thanh không gianThu âm stereo,,,,
