name,gsmarena_url,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | ,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Display | Protection,Main Camera | Triple,Main Camera | Single,Selfie camera | Dual,Battery | Talk time,Battery | Music play,brand
Motorola Razr 40 Ultra,https://www.gsmarena.com/motorola_razr_40_ultra-12169.php,Unfolded: 170.8 x 74 x 7 mm Folded: 88.4 x 74 x 15.1 mm,184.5 g or 188.5 g (6.53 oz),"Plastic front (unfolded), glass front (folded, Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame (7000 series), hinge (stainless steel)",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,Water-repellent coating,"Foldable LTPO AMOLED, 1B colors, 165Hz, HDR10+, 1400 nits (peak)","6.9 inches, 107.6 cm 2 (~85.1% screen-to-body ratio)",1080 x 2640 pixels (~413 ppi density),"Second external AMOLED, 1B colors, 144Hz, HDR10+, 1100 nits (peak) 3.6 inches, 1056 x 1066 pixels, 413 ppi, Gorilla Glass Victus","Android 13, up to 3 major Android upgrades",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,No,"256GB 4GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 3.1,"12 MP, f/1.5, (wide), 1/2.55"", 1.4µm, PDAF, OIS 13 MP, f/2.2, 108˚ (ultrawide), 1/3.0"", 1.12µm, AF","LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/120fps, HDR10+, gyro-EIS","32 MP, f/2.4, (wide), 0.7µm",HDR,"4K@30/60fps, 1080p@30/60fps",Li-Po 3800 mAh,30W wired 5W wireless,,,,,,,Motorola
Motorola Moto G73,https://www.gsmarena.com/motorola_moto_g73-12079.php,161.4 x 73.8 x 8.3 mm (6.35 x 2.91 x 0.33 in),181 g (6.38 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,Water-resistant design,"IPS LCD, 120Hz","6.5 inches, 102.0 cm 2 (~85.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,"Android 13, planned upgrade to Android 14",Mediatek Dimensity 930 (6 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM",,"50 MP, f/1.8, (wide), 1.0µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1.12µm, AF","LED flash, HDR, panorama",1080p@30/60fps,"16 MP, f/2.4, (wide), 1.0µm",,1080p@30fps,Li-Po 5000 mAh,30W wired,,,,,,,Motorola
Motorola Edge+,https://www.gsmarena.com/motorola_edge+_(2023)-12251.php,161.2 x 74 x 8.6 mm (6.35 x 2.91 x 0.34 in),203 g (7.16 oz),"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame",Nano-SIM + eSIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min),"OLED, 1B colors, 165Hz, HDR10+, Dolby Vision, 1300 nits (peak)","6.67 inches, 107.4 cm 2 (~90.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"Android 13, upgradable to Android 14",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,512GB 8GB RAM,UFS 4.0,,"Dual-LED flash, panorama, HDR","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, 10-bit HDR10+, gyro-EIS","60 MP, f/2.2, (wide), 1/2.8"", 0.61µm",HDR,"4K@30/60fps, 1080p@30/60/120/240fps",Li-Po 5100 mAh,68W wired 15W wireless 5W reverse wired 5W reverse wireless,Corning Gorilla Glass Victus,"50 MP, f/1.8, (wide), 1/1.55"", 1.0µm, multi-directional PDAF, OIS 12 MP, f/1.6, (telephoto), 1/2.93"", 1.22µm, PDAF, 2x optical zoom 50 MP, f/2.2, 114˚ (ultrawide), 1/2.76"", 0.64µm, AF",,,,,Motorola
Motorola Edge 40,https://www.gsmarena.com/motorola_edge_40-12204.php,158.4 x 72 x 7.6 mm (6.24 x 2.83 x 0.30 in),167 g or 171 g (5.89 oz),"Glass front, aluminum frame, plastic back or eco leather back",· Nano-SIM · Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min),"P-OLED, 144Hz, HDR10+, 1200 nits (peak)","6.55 inches, 103.6 cm 2 (~90.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",,"Android 13, up to 2 major Android upgrades",Mediatek Dimensity 8020 (6 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,"128GB 8GB RAM, 256GB 8GB RAM",UFS 3.1,"50 MP, f/1.4, (wide), 1/1.55"", 1.0µm, multi-directional PDAF, OIS 13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, AF","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, 720p@960fps, HDR10, gyro-EIS","32 MP, f/2.4, (wide), 1/3.0"", 0.7µm",HDR,"4K@30fps, 1080p@30/120fps",Li-Po 4400 mAh,68W wired 15W wireless,,,,,,,Motorola
Nubia Neo 2 5G,https://www.gsmarena.com/zte_nubia_neo_2-12852.php,166 x 76.1 x 8.5 mm (6.54 x 3.00 x 0.33 in),208 g (7.34 oz),,Nano-SIM + Nano-SIM,Pressure sensitive zones (Gaming triggers),"IPS LCD, 120Hz","6.72 inches, 109.0 cm 2 (~86.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,"Android 13, upgradable to Android 14",Unisoc T820 (6 nm),Octa-core (1x2.7 GHz Cortex-A76 & 3x2.3 GHz Cortex-A76 & 4x2.1 GHz Cortex-A55),Mali-G57,No,256GB 8GB RAM,UFS 3.1,"50 MP, f/1.8, (wide), PDAF Auxiliary lens","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, (wide)",,1080p@30fps,6000 mAh or 5200 mAh,33W wired,,,,,,,Nubia
Nubia Neo 3 5G,https://www.gsmarena.com/zte_nubia_neo_3-13711.php,168.3 x 76.5 x 8.3 mm (6.63 x 3.01 x 0.33 in),-,,Nano-SIM + Nano-SIM,Pressure sensitive zones (Gaming triggers) RGB light (on the back),"IPS LCD, 120Hz, 1000 nits (HBM)","6.8 inches, 111.9 cm 2 (~86.9% screen-to-body ratio)",1080 x 2392 pixels (~386 ppi density),,Android 15,Unisoc T8300 (6 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G57 MP2,No,256GB 8GB RAM,,"50 MP, f/1.8, (wide), PDAF Auxiliary lens","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, (wide)",,1080p@30fps,6000 mAh or 5000 mAh,33W wired Bypass Charging,Mohs level 4,,,,,,Nubia
Nubia Neo 5 5G,https://www.gsmarena.com/zte_nubia_neo_5_5g-14595.php,-,-,,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Pressure sensitive zones (550Hz touch-sensing) RGB light (on the back),"IPS LCD, 120Hz, 1000 nits (HBM)","6.8 inches, 113.9 cm 2","900 x 1940 pixels, 19.5:9 ratio (~314 ppi density)",,Android 16,Unisoc T9300 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G57 MP2,microSDXC,256GB 8GB RAM,,"50 MP, (wide), PDAF Auxiliary lens","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",16 MP,,1080p@30fps,6050 mAh,45W wired Bypass charging,,,,,,,Nubia
Nubia V60 Design,https://www.gsmarena.com/zte_blade_v60_design-13377.php,164.2 x 75.3 x 8.6 mm (6.46 x 2.96 x 0.34 in),198 g (6.98 oz),"Glass front, glass back, plastic frame",Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.6 inches, 104.6 cm 2 (~84.6% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,Android 13,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (uses shared SIM slot),"256GB 4GB RAM, 256GB 6GB RAM",,"50 MP, f/1.8, (wide), PDAF Auxiliary lens","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,Yes,5000 mAh,22.5W wired,,,,,,,Nubia
Nubia Z70 Ultra 5G,https://www.gsmarena.com/zte_nubia_z70_ultra-13508.php,164.3 x 77.1 x 8.6 mm (6.47 x 3.04 x 0.34 in),228 g (8.04 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"AMOLED, 1B colors, 144Hz, HDR10, 2000 nits (peak)","6.85 inches, 113.7 cm 2 (~89.7% screen-to-body ratio)",1216 x 2688 pixels (~431 ppi density),,"Android 15, Nebula AIOS",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM, 1TB 24GB RAM",UFS 4.0,,"Laser AF, color spectrum sensor, Ring-LED, dual-tone flash, panorama, HDR","8K@30fps, 4K@30/60/120fps, 1080p@30/60fps, gyro-EIS, HDR10, 10‑bit video","16 MP, f/2.5, 24mm (wide), 1/2.8"", 1.12µm, under display",HDR,1080p@30fps,Si/C Li-Ion 6150 mAh,"80W wired, PD3.0, QC4",Longxi glass (gen 2),"50 MP, f/1.6-4.0, 35mm (standard), 1/1.56"", 1.0µm, multi-directional PDAF, OIS 64 MP, f/2.5, 70mm (periscope telephoto), 1/2.0"", 0.7µm, multi-directional PDAF (15cm - ∞), OIS, 2.7x optical zoom (vs. 26mm cam) 50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.88"", 0.61µm, multi-directional PDAF",,,,,Nubia
Nubia Z70S Ultra 5G,https://www.gsmarena.com/zte_nubia_z70s_ultra_5g-13819.php,164.3 x 77.1 x 8.6 mm (6.47 x 3.04 x 0.34 in),228 g (8.04 oz),"Glass front (Gorilla Glass 7i), aluminum frame, glass back",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"AMOLED, 1B colors, 144Hz, HDR10, 2000 nits (peak)","6.85 inches, 113.7 cm 2 (~89.7% screen-to-body ratio)",1216 x 2688 pixels (~431 ppi density),,"Android 15, Nebula AIOS 1.5",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM, 1TB 24GB RAM",UFS 4.0,,"Laser AF, color spectrum sensor, Ring-LED, dual-tone flash, panorama, HDR","8K@30fps, 4K@30/60/120fps, 1080p@30/60fps, gyro-EIS, HDR10, 10‑bit video","16 MP, f/2.0, 24mm (wide), 1/2.8"", 1.12µm, under display",HDR,1080p@30fps,Si/C Li-Ion 6600 mAh,"80W wired, PD3.0, QC4",Corning Gorilla Glass 7i or Longxi glass (gen 2),"50 MP, f/1.7, 35mm (standard), 1/1.3"", 1.2µm, PDAF, OIS 64 MP, f/2.5, 70mm (periscope telephoto), 1/2.0"", 0.7µm, multi-directional PDAF (15cm - ∞), OIS, 2.7x optical zoom (vs. 26mm cam) 50 MP, f/2.0, 13mm, 122˚ (ultrawide), 1/2.88"", 0.61µm, multi-directional PDAF",,,,,Nubia
