brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Main Camera | Triple,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Dual,Main Camera | Single,Display | ,Memory | ,Selfie camera | Dual,Main Camera | Quad
honor,https://www.gsmarena.com/honor_600_pro_5g-14604.php,Honor 600 Pro,156 x 74.7 x 7.8 mm (6.14 x 2.94 x 0.31 in),195 g or 200 g (6.88 oz),"Glass front, glass back, aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR Vivid, 8000 nits (peak)","6.57 inches, 106.2 cm 2 (~91.2% screen-to-body ratio)","1264 x 2728 pixels, 19.5:9 ratio (~458 ppi density)",Mohs level 4,"Android 16, up to 6 major Android upgrades, MagicOS 10",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM","200 MP, f/1.9, (wide), 1/1.4"", 0.56µm, PDAF, OIS 50 MP, f/2.8, (telephoto), PDAF, 3.5x optical zoom 12 MP, f/2.2, 112˚ (ultrawide), AF","Color spectrum sensor, LED flash, HDR, panorama","4K, 1080p, gyro-EIS, OIS","50 MP, f/2.0, (wide)",HDR,"4K, 1080p, gyro-EIS",Si/C Li-Ion 7000 mAh (International) or 6400 mAh (Europe),80W wired 50W wireless 27W reverse wired,,,,,,
honor,https://www.gsmarena.com/honor_600_5g-14605.php,Honor 600,156 x 74.7 x 7.8 mm (6.14 x 2.94 x 0.31 in),185 g or 190 g (6.53 oz),"Glass front, aluminum frame",· Nano-SIM + eSIM · Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR Vivid, 8000 nits (peak)","6.57 inches, 106.2 cm 2 (~91.2% screen-to-body ratio)","1264 x 2728 pixels, 19.5:9 ratio (~458 ppi density)",Mohs level 4,"Android 16, up to 6 major Android upgrades, MagicOS 10",Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520),Adreno 722,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM",,"Color spectrum sensor, LED flash, HDR, panorama","4K, 1080p, gyro-EIS, OIS","50 MP, f/2.0, (wide)",HDR,"4K, 1080p, gyro-EIS",Si/C Li-Ion 7000 mAh (International) or 6400 mAh (Europe),80W wired 27W reverse wired,"200 MP, f/1.9, (wide), 1/1.4"", 0.56µm, PDAF, OIS 12 MP, f/2.2, 112˚ (ultrawide), AF",,,,,
honor,https://www.gsmarena.com/honor_magicpad_3_pro_12_3-14629.php,Honor MagicPad 3 Pro 12.3,273.4 x 178.8 x 4.8 mm (10.76 x 7.04 x 0.19 in),450 g (0.99 lb),,No,Stylus support,"OLED, 1B colors, 165Hz, 5280Hz PWM, HDR Vivid, 3000 nits (peak)","12.3 inches, 443.2 cm 2 (~90.7% screen-to-body ratio)",1920 x 3000 pixels (~290 ppi density),,"Android 16, MagicOS 10",Qualcomm SM8845 Snapdragon 8 Gen 5 (3 nm),Octa-core (2x3.8 GHz Oryon V3 Phoenix L + 6x3.32 GHz Oryon V3 Phoenix M),Adreno 829,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,LED flash,"4K@30fps, 1080p@30fps","9 MP, f/2.2",,"4K@30fps, 1080p@30fps",Li-Po 10100 mAh,66W wired 27W reverse wired,,"13 MP, f/2.0, AF",,,,
honor,https://www.gsmarena.com/honor_x70_refresh_edition_5g-14589.php,Honor X70 Refresh,161.9 x 76.1 x 7.8 or 8.0 mm,193 g or 199 g (6.81 oz),,Nano-SIM + Nano-SIM,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 6m) Drop resistant up to 2.5m,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR, 800 nits (typ), 1800 nits (HBM), 6000 nits (peak)","6.79 inches, 112.1 cm 2 (~90.9% screen-to-body ratio)",1200 x 2640 pixels (~427 ppi density),Aluminosilicate glass,"Android 16, MagicOS 10",Qualcomm Snapdragon 6 Gen 4 (4 nm),Octa-core (1x2.3 GHz Cortex-A720s & 3x2.2 GHz Cortex-A720s & 4x1.8 GHz Cortex-A520s),Adreno 810,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","8 MP, f/2.0, (wide)",,1080p@30fps,Si/C Li-Ion 8300 mAh,80W wired 80W wireless (512GB model only) Reverse wireless (512GB model only) 5W reverse wired,,"50 MP, f/1.9, (wide), PDAF, OIS",Ultra HDR image support,,,
honor,https://www.gsmarena.com/honor_x5d_plus-14584.php,Honor X5d Plus,167 x 77 x 7.9 mm (6.57 x 3.03 x 0.31 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,,"TFT LCD, 90Hz","6.74 inches, 109.7 cm 2 (~85.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Android 15, MagicOS 9",Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (uses shared SIM slot),128GB 4GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Li-Po 5260 mAh,15W wired,,"50 MP, f/1.8, (wide), PDAF Auxiliary lens",,,,
honor,https://www.gsmarena.com/honor_x5d-14583.php,Honor X5d,167 x 77 x 7.9 mm (6.57 x 3.03 x 0.31 in),186 g (6.56 oz),,Nano-SIM + Nano-SIM,,"TFT LCD, 90Hz","6.74 inches, 109.7 cm 2 (~85.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Android 15, MagicOS 9",Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Li-Po 5260 mAh,15W wired,,"13 MP, f/2.2, (wide), AF Auxiliary lens",,,,
honor,https://www.gsmarena.com/honor_x80i_5g-14579.php,Honor X80i,157.4 x 75.4 x 7.3 mm (6.20 x 2.97 x 0.29 in),185 g (6.53 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM,IP66 dust tight and water resistant (high pressure water jets) Drop resistant up to 1.8m,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, 800 nits (typ), 2000 nits (HBM), 6500 nits (peak)","6.6 inches, 106.9 cm 2 (~90.1% screen-to-body ratio)","1200 x 2600 pixels, 19.5:9 ratio (~434 ppi density)",Aluminosilicate glass,"Android 16, MagicOS 10",Mediatek Dimensity 6500 Elite (6 nm),Octa-core (2x2.6 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Li-Po 7000 mAh,45W wired 6W reverse wired,,"50 MP, f/1.8, (wide), PDAF",,,,
honor,https://www.gsmarena.com/honor_play_80_pro_5g-14577.php,Honor Play 80 Pro,166.9 x 76.8 x 8.2 mm (6.57 x 3.02 x 0.32 in),207 g (7.30 oz),,Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"TFT LCD, 120Hz, 850 nits (HBM)","6.8 inches, 111.2 cm 2 (~86.7% screen-to-body ratio)","720 x 1610 pixels, 20:9 ratio (~259 ppi density)",Aluminosilicate glass,"Android 15, Magic OS 9",Qualcomm SM6375 Snapdragon 6s Gen 3 (6 nm),Octa-core (2x2.3 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Adreno 619,No,"256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Li-Po 7000 mAh,45W wired 7.5W reverse wired,"50 MP, f/1.8, (wide), PDAF Auxiliary lens",,,,,
honor,https://www.gsmarena.com/honor_play_80_plus_5g-14650.php,Honor Play 80 Plus,163.9 x 75.9 x 8.3 mm (6.45 x 2.99 x 0.33 in),205 g (7.23 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.8m,"TFT LCD, 120Hz, 1010 nits (peak)","6.61 inches, 105.3 cm 2 (~84.7% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~266 ppi density)",,"Android 16, MagicOS 10",Qualcomm SM4450-AF Snapdragon 4 Gen 4,Octa-core (2x2.3 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,"LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Si/C Li-Po 7500 mAh,45W wired 7.5W reverse wired,,"13 MP, f/1.8, (wide)",,,,
honor,https://www.gsmarena.com/honor_play_70c-14653.php,Honor Play 70C,167 x 77 x 7.9 mm (6.57 x 3.03 x 0.31 in),186 g (6.56 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,,"TFT LCD, 90Hz","6.75 inches, 110.0 cm 2 (~85.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"Android 15, MagicOS 9",Mediatek Helio G81 Ultra (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,"LED flash, panorama, HDR",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Li-Po 5300 mAh,15W wired 2.5W reverse wired,,"13 MP, f/2.2, (wide)",,,,
