brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | ,Platform | OS,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Single,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Dual,Display | Protection,Platform | Chipset,Platform | CPU,Platform | GPU,Main Camera | Triple,Selfie camera | Features,Memory | Phonebook,Memory | Call records,Main Camera | Quad,Selfie camera | Dual,Battery | Stand-by,Battery | Talk time,Selfie camera | 
huawei,https://www.gsmarena.com/huawei_matepad_pro_max-14658.php,Huawei MatePad Pro Max,289.3 x 196.3 x 4.7 mm (11.39 x 7.73 x 0.19 in),499 g or 509 g (1.10 lb),"Glass front, aluminum frame, aluminum back",No,Stylus support,"OLED, 1B colors, 144Hz, HDR, 1600 nits (peak)","13.2 inches, 518.8 cm 2 (~91.4% screen-to-body ratio)","3000 x 2000 pixels, 3:2 ratio (~273 ppi density)",PaperMatte Display (optional),Harmony OS 4.3,No,"256GB 12GB RAM, 512GB 12GB RAM",UFS,"50 MP, f/1.8, (wide), PDAF",LED flash,"4K@30fps, 1080p@30fps","12 MP, f/2.4",1080p@30fps,10400 mAh (International) or 9760 mAh (Europe),66W wired 40W reverse wired,,,,,,,,,,,,,,
huawei,https://www.gsmarena.com/huawei_nova_15_max-14656.php,Huawei nova 15 Max,163.3 x 78 x 8 mm (6.43 x 3.07 x 0.31 in),232 g (8.18 oz),"Glass front, plastic frame, plastic back",· Nano-SIM · Nano-SIM + Nano-SIM,,"OLED, 1B colors, 120Hz, 2160Hz PWM, 4000 nits (peak)","6.84 inches, 114.8 cm 2 (~90.2% screen-to-body ratio)","1272 x 2756 pixels, 19.5:9 ratio (~444 ppi density)",,EMUI 14.2,No,256GB 8GB RAM,,,"LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","8 MP, f/2.0, (wide)","4K@30fps, 1080p@30fps",8500 mAh,40W wired 5W reverse wired,"50 MP, f/1.9, (wide), 1/1.56"", dual-pixel PDAF Auxiliary lens",,,,,,,,,,,,,
huawei,https://www.gsmarena.com/huawei_watch_ultimate_design_spring-14657.php,Huawei Watch Ultimate Design Spring,42.9 x 42.9 x 10.8 mm (1.69 x 1.69 x 0.43 in),91 g (3.21 oz),"Sapphire crystal front, titanium alloy front shell, ceramic back",eSIM,99 natural diamonds (0.8 carats) 5 ATM (maximum depth 40 meters when diving) IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) ECG certified,"LTPO2 AMOLED, 3000 nits (peak)",1.38 inches,466 x 466 pixels (~338 ppi density),,HarmonyOS 6.1,No,,,,,,,,Li-Ion 540 mAh,Wireless,,Sapphire crystal glass,Kirin W80,,,,,,,,,,,
huawei,https://www.gsmarena.com/huawei_pura_x_max_5g-14607.php,Huawei Pura X Max,Unfolded: 166.5 x 120 x 5.2 mm Folded: 85 x 120 x 11.2 mm,229 g (8.08 oz),"Glass front (Kunlun Glass 2), aluminosilicate glass back, aluminum frame",Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),IP58/IP59 dust protected and water resistant (high pressure water jets; immersible up to 1m for 30 min) Stylus support,"Foldable LTPO2 OLED, 1B colors, 120Hz, 1440Hz PWM, HDR Vivid","7.7 inches, 179.5 cm 2 (~89.8% screen-to-body ratio)",1828 x 2584 pixels (~412 ppi density),"Cover display: LTPO2 OLED, 1B colors, 120Hz, 1440Hz PWM, 5.4 inches, 1264 x 1848 pixels, 412 PPI, Huawei Kunlun Glass 2",HarmonyOS 6.1,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K, 1080p, gyro-EIS, HDR Vivid","8 MP, f/2.2, (wide) Cover camera: 8 MP, f/2.4, (wide)","4K, 1080p, HDR Vivid",5300 mAh,66W wired 50W wireless 7.5W reverse wireless 5W reverse wired,,,Kirin 9030 Pro (6 nm),9-core (1x2.75 GHz & 4x2.27 GHz & 4x1.72 GHz),Maleoon 935,"50 MP, f/1.4-4.0, 24mm (wide), PDAF, OIS 50 MP, f/2.2, 81mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom 12.5 MP, f/2.2, 13mm (ultrawide), AF",,,,,,,,
huawei,https://www.gsmarena.com/huawei_pura_90_pro_max_5g-14609.php,Huawei Pura 90 Pro Max,164 x 77.1 x 8.1 mm (6.46 x 3.04 x 0.32 in),230.5 g (8.15 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min),"LTPO OLED, 1B colors, 120Hz, PWM, HDR Vivid","6.9 inches, 115.6 cm 2 (~91.5% screen-to-body ratio)",1308 x 2880 pixels (~458 ppi density),Anti-reflective coating,HarmonyOS 6.1,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K, 1080p, 1080p@960fps (interpolated), HDR Vivid, gyro-EIS, OIS","13 MP, f/2.0, (ultrawide), AF","4K, 1080p, 1080p@240fps, HDR Vivid, gyro-EIS",Li-Po 6000 mAh,100W wired 80W wireless 18W reverse wired Reverse wireless,,Kunlun Glass,Kirin 9030S,,,"50 MP, f/1.4-4.0, 24mm (wide), PDAF, OIS 200 MP, f/2.6, 89mm (telephoto), PDAF, OIS, 4x optical zoom 40 MP, f/2.2, 13mm (ultrawide), AF","HDR, panorama",,,,,,,
huawei,https://www.gsmarena.com/huawei_pura_90_pro_5g-14610.php,Huawei Pura 90 Pro,157.8 x 74.5 x 8.2 mm (6.21 x 2.93 x 0.32 in),213.5 g (7.55 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min),"LTPO OLED, 1B colors, 120Hz, PWM, HDR Vivid","6.6 inches, 105.9 cm 2 (~90.1% screen-to-body ratio)",1256 x 2760 pixels (~459 ppi density),,HarmonyOS 6.1,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K, 1080p, 1080p@960fps (interpolated), HDR Vivid, gyro-EIS, OIS","13 MP, f/2.0, (ultrawide), AF","4K, 1080p, 1080p@240fps, HDR Vivid, gyro-EIS",Li-Po 6000 mAh,66W wired 50W wireless Reverse wired 5W reverse wireless,,Kunlun Glass 2,Kirin 9030S,,,"50 MP, f/1.4-4.0, 24mm (wide), PDAF, OIS 50 MP, f/2.1, 91mm (telephoto), PDAF (5cm - ∞), OIS, 4x optical zoom 12.5 MP, f/2.2, 13mm (ultrawide), AF","HDR, panorama",,,,,,,
huawei,https://www.gsmarena.com/huawei_pura_90_5g-14612.php,Huawei Pura 90,163.1 x 78.1 x 7 mm (6.42 x 3.07 x 0.28 in),210 g (7.41 oz),"Glass front, aluminum frame",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min),"LTPO OLED, 1B colors, 120Hz, PWM, HDR Vivid","6.8 inches, 113.6 cm 2 (~89.2% screen-to-body ratio)","1320 x 2856 pixels, 19.5:9 ratio (~463 ppi density)",,HarmonyOS 6.1,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","4K, 1080p, 1080p@480fps (interpolated), HDR Vivid, gyro-EIS, OIS","50 MP, f/2.0, (wide), AF","4K, 1080p, 1080p@120fps, HDR Vivid, gyro-EIS",6500 mAh,"100W wired, 100% in 45 min 50W wireless Reverse wireless 5W reverse wired",,Kunlun Glass,Kirin 9010s (7 nm),Octa-core,,"50 MP, f/1.8, 24mm (wide), PDAF, OIS 50 MP, f/2.2, 88mm (periscope telephoto), PDAF, OIS, 3.7x optical zoom 12.5 MP, f/2.2, 13mm (ultrawide)","HDR, panorama",,,,,,,
huawei,https://www.gsmarena.com/huawei_watch_fit_5_pro-14614.php,Huawei Watch Fit 5 Pro,44.5 x 40.8 x 9.5 mm (1.75 x 1.61 x 0.37 in),30.4 g (1.06 oz),"Glass front (Sapphire Glass), titanium alloy bezel, aluminum mid-frame, polymer fiber back",No,5 ATM water resistant IP6X dust tight ECG certified 40m swimproof/diving (EN13319),"AMOLED, 3000 nits (peak)",1.92 inches,480 x 408 pixels (~328 ppi density),,,No,Unspecified,,,,,,,Li-Ion 471 mAh,,,Sapphire crystal glass,,,,,,No,No,,,,,
huawei,https://www.gsmarena.com/huawei_watch_fit_5-14613.php,Huawei Watch Fit 5,42.9 x 38.2 x 9.5 mm (1.69 x 1.50 x 0.37 in),27 g (0.95 oz),"Glass front, aluminum frame, plastic back",No,5 ATM water resistant IP6X dust tight,"AMOLED, 2500 nits (peak)",1.82 inches,480 x 408 pixels (~346 ppi density),,,No,Unspecified,,,,,,,Li-Ion 471 mAh,,,,,,,,,No,No,,,,,
huawei,https://www.gsmarena.com/huawei_enjoy_90_pro_max-14553.php,Huawei Enjoy 90 Pro Max,163.3 x 78 x 8 mm (6.43 x 3.07 x 0.31 in),232 g (8.18 oz),"Glass front, plastic frame, aluminum back",Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"OLED, 1B colors, 120Hz, 2160Hz PWM, 4000 nits (peak)","6.84 inches, 114.8 cm 2 (~90.2% screen-to-body ratio)","1272 x 2756 pixels, 19.5:9 ratio (~444 ppi density)",,HarmonyOS 6.0,No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",,"50 MP, f/1.9, (wide), 1/1.56"", dual-pixel PDAF","LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","8 MP, f/2.0, (wide)","4K@30fps, 1080p@30fps, gyro-EIS",Si/C Li-Ion 8500 mAh,40W wired 5W reverse wired,,Aluminosilicate glass,Kirin 8000 (7 nm),Octa-core (1x2.4 GHz & 3x2.2 GHz & 4x1.84 GHz),Mali-G610 MP4,,,,,,,,,
