brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Triple,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Features,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Dual,Main Camera | Single,Display | ,Display | Protection,Main Camera | Quad
meizu,https://www.gsmarena.com/meizu_22_5g-14150.php,Meizu 22,152 x 71 x 8.2 mm (5.98 x 2.80 x 0.32 in),190 g (6.70 oz),"Glass front, aluminum frame",Nano-SIM + Nano-SIM,IP66/IP68 dust tight and water resistant (immersible up to 1.5m for 30 min; high pressure water jets),"LTPO OLED, 120Hz, HDR10+, 1800 nits (HBM), 6000 nits (peak)","6.3 inches, 95.7 cm 2 (~88.7% screen-to-body ratio)","1200 x 2670 pixels, 20:9 ratio (~465 ppi density)","Android 15, Flyme AIOS 2",Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.0,"50 MP, f/1.7, 24mm (wide), 1/1.3"", PDAF, OIS 50 MP, f/2.5, 72mm (periscope telephoto), 1/1.95"", PDAF (15cm - ∞), OIS, 3x optical zoom 50 MP, f/2.1, 13mm, 122˚ (ultrawide), 1/2.88""","Ring-LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS","50 MP, f/2.1, 22mm (wide), 1/2.88""",HDR,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",5510 mAh,"80W wired, PD3 PPS, QC4+ 66W wireless 10W reverse wireless",,,,,
meizu,https://www.gsmarena.com/meizu_note_22_pro_5g-13884.php,Meizu Note 22 Pro,163.8 x 76.2 x 8.4 mm (6.45 x 3.00 x 0.33 in),197.5 g (6.98 oz),,Nano-SIM + Nano-SIM,IP66/IP68 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) Drop resistant up to 1.8m,"OLED, 1B colors, 144Hz, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~88.9% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)",Flyme AIOS 2,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,"50 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.2, 15mm (ultrawide) 2 MP, f/2.4","LED flash, panorama, HDR","Yes, gyro-EIS","8 MP, f/2.1",HDR,Yes,6200 mAh,"80W wired, QC4+, PD3.0, PPS, 50% in 22 min",,,,,
meizu,https://www.gsmarena.com/meizu_note_22_5g-13883.php,Meizu Note 22,167.6 x 75.8 x 9.2 mm (6.60 x 2.98 x 0.36 in),217 g (7.65 oz),,Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"IPS LCD, 120Hz, 1050 nits (HBM), 5000 nits (peak)","6.78 inches, 109.2 cm 2 (~85.9% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),Flyme AIOS 2,Unisoc T8200 (6 nm),Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,,"LED flash, panorama, HDR",Yes,"8 MP, f/2.0",HDR,Yes,6600 mAh,"40W wired, QC3+","50 MP, f/1.8, 26mm (wide), PDAF Auxiliary lens",,,,
meizu,https://www.gsmarena.com/meizu_mblu_22_pro-13700.php,Meizu Mblu 22 Pro,170.8 x 77.5 x 8.5 mm (6.72 x 3.05 x 0.33 in),212 g (7.48 oz),,Nano-SIM + Nano-SIM,Splash resistant,"TFT LCD, 120Hz, 400 nits (HBM)","6.79 inches, 109.5 cm 2 (~82.7% screen-to-body ratio)",720 x 1640 pixels (~264 ppi density),Android 15,Mediatek Helio G81 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC,"128GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",eMMC 5.1,,"LED flash, panorama, HDR",Yes,"8 MP, f/2.0",,Yes,Si/C Li-Ion 5000 mAh,18W wired,"50 MP, f/1.8, (wide), PDAF 2 MP (macro)",,,,
meizu,https://www.gsmarena.com/meizu_mblu_22-13699.php,Meizu Mblu 22,170.8 x 77.5 x 8.9 mm (6.72 x 3.05 x 0.35 in),200 g (7.05 oz),,Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.79 inches, 109.5 cm 2 (~82.7% screen-to-body ratio)",720 x 1640 pixels (~264 ppi density),Android 15 (Go edition),Unisoc SC9863A (28 nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,"64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",eMMC 5.1,,"LED flash, panorama, HDR",Yes,"5 MP, f/2.2",,Yes,5000 mAh,10W wired,,"13 MP, f/1.8, 26mm (wide), AF auxiliary lens",,,
meizu,https://www.gsmarena.com/meizu_note_22-13698.php,Meizu Note 22 4G,165.2 x 75.5 x 8.4 mm (6.50 x 2.97 x 0.33 in),204 g (7.20 oz),,Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 120Hz, 550 nits (typ), 1200 nits (HBM), 1800 nits (peak)","6.78 inches, 109.9 cm 2 (~88.1% screen-to-body ratio)",1080 x 2436 pixels (~393 ppi density),"Android 15, Flyme OS",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM, 1TB 8GB RAM",UFS 2.2,"108 MP, f/1.7, (wide), PDAF 8 MP, f/2.2, (ultrawide) 2 MP (macro)","LED flash, panorama, HDR",Yes,"32 MP, f/2.0",,Yes,5000 mAh,"40W wired, 40W PD, PD3",,,,,
meizu,https://www.gsmarena.com/meizu_note_16_5g-13862.php,Meizu Note 16,167.6 x 75.8 x 9.2 mm (6.60 x 2.98 x 0.36 in),217 g (7.65 oz),,Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"IPS LCD, 120Hz, 1050 nits (peak)","6.78 inches, 109.2 cm 2 (~85.9% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),Flyme AIOS 2,Unisoc T8200 (6 nm),Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,,"LED flash, panorama, HDR",Yes,"8 MP, f/2.0",HDR,Yes,6600 mAh,"40W wired, QC3+","50 MP, f/1.8, 26mm (wide), PDAF 2 MP, f/2.4",,,,
meizu,https://www.gsmarena.com/meizu_note_16_pro_5g-13861.php,Meizu Note 16 Pro,163.8 x 76.2 x 8.4 mm (6.45 x 3.00 x 0.33 in),197.5 g (6.98 oz),,Nano-SIM + Nano-SIM,IP66/IP68 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min) Drop resistant up to 1.8m,"OLED, 1B colors, 144Hz, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~88.9% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)",Flyme AIOS 2,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",,"50 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.2, 15mm (ultrawide) 2 MP, f/2.4","LED flash, panorama, HDR",Yes,"8 MP, f/2.1",HDR,Yes,6200 mAh,"80W wired, QC4+, PD3.0, PPS",,,,,
meizu,https://www.gsmarena.com/meizu_mblu_21-13530.php,Meizu mblu 21,-,-,,Nano-SIM + Nano-SIM,,"IPS LCD, 90Hz","6.79 inches, 109.5 cm 2",720 x 1640 pixels (~264 ppi density),Android 14,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unspecified,64GB 4GB RAM,,,"LED flash, panorama, HDR",Yes,8 MP,,Yes,4900 mAh,,,"13 MP, AF auxiliary lens",,,
meizu,https://www.gsmarena.com/meizu_lucky_08-13365.php,Meizu Lucky 08,163 x 77.5 x 8.6 mm (6.42 x 3.05 x 0.34 in),202 g (7.13 oz),,Nano-SIM + Nano-SIM,,"LTPO AMOLED, 1B colors, 144Hz, HDR, 800 nits (typ), 5000 nits (peak)","6.78 inches, 111.7 cm 2 (~88.5% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Flyme AIOS,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,Unspecified,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,,"LED flash, panorama, HDR",Yes,"8 MP, f/2.0",HDR,Yes,6000 mAh,"45W wired, QC4+, PD3.0, PPS","108 MP, f/1.7, 24mm (wide), 1/1.67"", 0.64µm, PDAF 2 MP (macro)",,,,
