brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Display | ,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Triple,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Memory | Phonebook,Memory | Call records,Selfie camera | Features,Main Camera | Dual
nothing,https://www.gsmarena.com/nothing_phone_(4a)_pro_5g-14529.php,Nothing Phone (4a) Pro,163.7 x 76.6 x 8 mm (6.44 x 3.02 x 0.31 in),210 g (7.41 oz),"Glass front (Gorilla Glass 7i), aluminum frame, aluminum back",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets) Manufacturer-rated water-resistant (up to 25cm for 20 min) 137 individually addressable mini-LEDs Aircraft-grade aluminium unibody,"AMOLED, 1B colors, 144Hz, 2160Hz PWM, HDR10+, 800 nits (typ), 1600 nits (HBM), 5000 nits (peak)","6.83 inches, 117.8 cm 2 (~93.9% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~440 ppi density)","Corning Gorilla Glass 7i, Mohs level 5",Ultra HDR image support,"Android 16, Nothing OS 4.1, up to 3 major Android upgrades",Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520),Adreno 722,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 50 MP, f/2.9, 80mm (periscope telephoto), 1/2.75"", 0.64µm, PDAF, OIS, 3.5x optical zoom 8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, panorama, Ultra XDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS, Dolby Vision HDR, Ultra XDR","32 MP, f/2.2, 22mm (wide), 1/3.42"", 0.64µm",1080p@30fps,5080 mAh - International 5400 mAh - India,"50W wired, 50% in 22 min, 100% in 64 min 7.5W reverse wired",,,,
nothing,https://www.gsmarena.com/nothing_phone_(4a)_5g-14503.php,Nothing Phone (4a),164 x 77.6 x 8.6 mm (6.46 x 3.06 x 0.34 in),204.5 g (7.23 oz),"Glass front (Gorilla Glass 7i), plastic frame, glass back",Nano-SIM + Nano-SIM,"IP64 dust tight and water resistant (water splashes) Manufacturer-rated water-resistant (up to 25cm for 20 min) 63 mini-LEDs, 6 individually addressable zones","AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, 800 nits (typ), 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 111.0 cm 2 (~87.2% screen-to-body ratio)","1224 x 2720 pixels, 20:9 ratio (~440 ppi density)","Corning Gorilla Glass 7i, Mohs level 5",Ultra HDR image support,"Android 16, Nothing OS 4.1, up to 3 major Android upgrades",Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, PDAF, OIS 50 MP, f/2.9, 80mm (periscope telephoto), 1/2.75"", 0.64µm, PDAF, OIS, 3.5x optical zoom 8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, panorama, Ultra XDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS, Dolby Vision HDR","32 MP, f/2.2, 22mm (wide), 1/3.42"", 0.64µm",1080p@30fps,5080 mAh - International 5400 mAh - India,"50W wired, 50% in 22 min, 100% in 64 min 7.5W reverse wired",,,,
nothing,https://www.gsmarena.com/nothing_phone_(3a)_lite_5g-14267.php,Nothing Phone (3a) Lite,164 x 78 x 8.3 mm (6.46 x 3.07 x 0.33 in),199 g (7.02 oz),"Glass front (Panda Glass), plastic frame, glass back (Panda Glass)",Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR, 800 nits (typ), 1300 nits (HBM), 3000 nits (peak)","6.77 inches, 110.9 cm 2 (~86.7% screen-to-body ratio)",1080 x 2392 pixels (~388 ppi density),"Panda Glass, Mohs level 5",Ultra HDR image support,"Android 15, up to 3 major Android upgrades, Nothing OS 3.5",Mediatek Dimensity 7300 Pro (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM",,"50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS 8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP (macro)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.5, 24mm (wide), 1/3.0"", 1.0µm",1080p@30fps,5000 mAh,"33W wired, 50% in 20 min 5W reverse wired",,,,
nothing,https://www.gsmarena.com/nothing_cmf_watch_3_pro-14217.php,Nothing CMF Watch 3 Pro,47 x 47 x 14.4 mm (1.85 x 1.85 x 0.57 in),51 g (1.80 oz),"Glass front, aluminum frame",No,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min),"AMOLED, 650 nits (typ)",1.43 inches,466 x 466 pixels (~326 ppi density),,,,,,,No,256 MB,,,,,,,Li-Ion 350 mAh,,No,Yes,,
nothing,https://www.gsmarena.com/nothing_cmf_watch_pro_2-14218.php,Nothing CMF Watch Pro 2,45 x 45 x 13.6 mm (1.77 x 1.77 x 0.54 in),44.4 g (1.55 oz),"Glass front, aluminum frame",No,IP68 dust tight and water resistant (immersible up to 1.5m for 30 min),"AMOLED, 2160Hz PWM, 620 nits (typ)",1.32 inches,466 x 466 pixels (~353 ppi density),,,,,,,No,Unspecified,,,,,,,Li-Ion 305 mAh,,No,Yes,,
nothing,https://www.gsmarena.com/nothing_cmf_watch_pro-14219.php,Nothing CMF Watch Pro,46.9 x 39.9 x 11.4 mm (1.85 x 1.57 x 0.45 in),31.1 g (1.09 oz),"Glass front, aluminum frame",No,Dust and water resistant,"AMOLED, 600 nits",1.96 inches,502 x 410 pixels (~331 ppi density),,,,,,,No,Unspecified,,,,,,,Li-Ion 340 mAh,,No,Yes,,
nothing,https://www.gsmarena.com/nothing_phone_(3)_5g-13969.php,Nothing Phone (3),160.6 x 75.6 x 9 mm (6.32 x 2.98 x 0.35 in),218 g (7.69 oz),"Glass front (Gorilla Glass 7i), glass back (Gorilla Glass Victus), aluminum frame",Nano-SIM + Nano-SIM + eSIM (max 2 at a time),"Monochrome LED display on the back (489 LEDs, notifications, timer, flashlight) IP68 dust tight and water resistant (submerged up to 1.5m for 30 min)","OLED, 1B colors, 120Hz, 960Hz PWM, HDR10+, 4500 nits (peak)","6.67 inches, 107.4 cm 2 (~88.5% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~460 ppi density)","Corning Gorilla Glass 7i, Mohs level 5",,"Android 15, upgradable to Android 16, Nothing OS 4.1, up to 5 major Android upgrades",Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,No,"256GB 12GB RAM, 512GB 16GB RAM",UFS 4.0,"50 MP, f/1.7, 24mm (wide), 1/1.3"", PDAF, OIS 50 MP, f/2.7, (periscope telephoto), 1/2.75"", PDAF, 3x optical zoom. OIS 50 MP, f/2.2, 114˚ (ultrawide), 1/2.76""","LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.2, (wide), 1/2.76""","4K@60fps, 1080p@60fps",Market-dependent versions: · Si/C 5150 mAh - International model · Si/C 5500 mAh - India model,"65W wired, PD3.0, PPS, QC4 15W wireless 7.5W reverse charging 5W reverse wireless",,,HDR,
nothing,https://www.gsmarena.com/nothing_cmf_phone_2_pro_5g-13821.php,Nothing CMF Phone 2 Pro,164 x 78 x 7.8 mm (6.46 x 3.07 x 0.31 in),185 g (6.53 oz),,Nano-SIM + Nano-SIM,User-replaceable back cover IP54 dust protected and water resistant (water splashes) Manufacturer-rated water-resistant (up to 25cm for 20 min),"AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, 800 nits (typ), 1300 nits (HBM), 3000 nits (peak)","6.77 inches, 110.9 cm 2 (~86.7% screen-to-body ratio)",1080 x 2392 pixels (~388 ppi density),"Panda Glass, Mohs level 5",Ultra HDR image support,"Android 15, up to 3 major Android upgrades, Nothing OS 3.2",Mediatek Dimensity 7300 Pro (4 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM",,"50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF 50 MP, f/1.9, 50mm (telephoto), 1/2.88"", PDAF, 2x optical zoom 8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, panorama, HDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS","16 MP, f/2.0, 22mm (wide), 1/3.0""",1080p@30fps,5000 mAh,33W wired 5W reverse wired,,,,
nothing,https://www.gsmarena.com/nothing_phone_(3a)_pro-13649.php,Nothing Phone (3a) Pro,163.5 x 77.5 x 8.4 mm (6.44 x 3.05 x 0.33 in),211 g (7.44 oz),"Glass front (Panda Glass), plastic frame, glass back",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM - India only,"IP64 dust tight and water resistant (water splashes) 3 LED light strips on the back (notifications, camera fill light, 26 addressable zones)","AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, 800 nits (typ), 1300 nits (HBM), 3000 nits (peak)","6.77 inches, 111.5 cm 2 (~88.0% screen-to-body ratio)",1080 x 2392 pixels (~387 ppi density),"Panda Glass, Mohs level 5",Ultra HDR image support,"Android 15, upgradable to Android 16, Nothing OS 4.0, up to 3 major Android upgrades",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 50 MP, f/2.6, 70mm (periscope telephoto) (15cm - ∞), 1/1.95"", 0.8µm, PDAF, OIS, 3x optical zoom 8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, panorama, HDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","50 MP, f/2.2, 24mm (wide), 1/2.76""","4K@30fps, 1080p@30fps",5000 mAh,"50W wired, 50% in 19 min, 100% in 56 min",,,,
nothing,https://www.gsmarena.com/nothing_phone_(3a)-13672.php,Nothing Phone (3a),163.5 x 77.5 x 8.4 mm (6.44 x 3.05 x 0.33 in),201 g (7.09 oz),"Glass front (Panda Glass), plastic frame, glass back",Nano-SIM + Nano-SIM,"IP64 dust tight and water resistant (water splashes) 3 LED light strips on the back (notifications, camera fill light, 26 addressable zones)","AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, 800 nits (typ), 1300 nits (HBM), 3000 nits (peak)","6.77 inches, 111.5 cm 2 (~88.0% screen-to-body ratio)",1080 x 2392 pixels (~387 ppi density),"Panda Glass, Mohs level 5",Ultra HDR image support,"Android 15, upgradable to Android 16, Nothing OS 4.0, up to 3 major Android upgrades",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 2.2,"50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS 50 MP, f/2.0, 50mm (telephoto), 1/2.74"", 0.64µm, PDAF (25cm - ∞), 2x optical zoom 8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, panorama, HDR","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","32 MP, f/2.2, 22mm (wide), 1/3.44""",1080p@30fps,5000 mAh,"50W wired, 50% in 19 min, 100% in 56 min",,,,
