brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Single,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Body | Build,Display | Protection,Display | ,Main Camera | Triple,Main Camera | Dual,Selfie camera | Features,Selfie camera | Dual,Main Camera | Quad
tecno,https://www.gsmarena.com/tecno_pop_x_5g-14608.php,Tecno Pop X,167.9 x 79.3 x 8.2 mm (6.61 x 3.12 x 0.32 in),210 g (7.41 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"IPS LCD, 120Hz","6.78 inches, 112.1 cm 2 (~84.2% screen-to-body ratio)","720 x 1576 pixels, 19.5:9 ratio (~256 ppi density)","Android 16, HIOS 16",Mediatek Dimensity 6400 (6 nm),Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM",UFS 2.2,"13 MP, (wide), AF",LED flash,Yes,"8 MP, f/2.0, (wide)",Yes,6500 mAh,45W wired,,,,,,,,
tecno,https://www.gsmarena.com/tecno_spark_50_4g-14596.php,Tecno Spark 50 4G,167.8 x 79.2 x 8.2 mm (6.61 x 3.12 x 0.32 in),210 g (7.41 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m,"IPS LCD, 120Hz","6.78 inches, 111.0 cm 2 (~83.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~259 ppi density)","Android 16, HIOS 16",MediaTek Helio G81,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM",UFS 2.2,"50 MP, f/1.9, (wide), PDAF",LED flash,Yes,"8 MP, f/2.0, (wide)",Yes,7000 mAh,18W wired,"Glass front, plastic frame, plastic back",,,,,,,
tecno,https://www.gsmarena.com/tecno_spark_50_5g-14566.php,Tecno Spark 50,167.9 x 79.3 x 8.2 mm (6.61 x 3.12 x 0.32 in),210 g (7.41 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.5m MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"IPS LCD, 120Hz","6.78 inches, 112.1 cm 2 (~84.2% screen-to-body ratio)","720 x 1576 pixels, 19.5:9 ratio (~256 ppi density)","Android 16, HIOS 16",Mediatek Dimensity 6400 (6 nm),Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (dedicated slot),"128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM",UFS 2.2,"50 MP, f/1.9, (wide), PDAF",LED flash,Yes,"8 MP, f/2.0, (wide)",Yes,6500 mAh,45W wired,,,,,,,,
tecno,https://www.gsmarena.com/tecno_camon_50_ultra_5g-14519.php,Tecno Camon 50 Ultra,162.4 x 77 x 7.8 mm (6.39 x 3.03 x 0.31 in),178 g (6.28 oz),Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 144Hz, 2160Hz PWM, HDR10","6.78 inches, 112.1 cm 2 (~89.6% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~429 ppi density)","Android 16, up to 3 major Android upgrades, HIOS 16",Mediatek Dimensity 7400 Ultimate (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM",UFS,,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@60fps","50 MP, f/2.4, 21mm (wide), 1/2.76"", 0.64µm, PDAF","4K@30/60fps, 1080p@60fps",6160 mAh or 6500 mAh,45W wired,"Glass front (Gorilla Glass 7i), glass back (Gorilla Glass 7i), plastic frame",Corning Gorilla Glass 7i,HDR image support,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 50 MP, f/2.4, 70mm (telephoto), 1/2.88"", 0.61µm, PDAF, 3x optical zoom 8 MP, f/2.2, 14mm, 112˚ (ultrawide), 1/4.0"", 1.12µm",,,,
tecno,https://www.gsmarena.com/tecno_camon_50_pro_5g-14538.php,Tecno Camon 50 Pro,162.4 x 77 x 7.8 mm (6.39 x 3.03 x 0.31 in),-,Nano-SIM + Nano-SIM,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 144Hz","6.78 inches, 112.1 cm 2 (~89.6% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~429 ppi density)","Android 16, up to 3 major Android upgrades, HIOS 16",Mediatek Dimensity 7400 Ultimate (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Unspecified,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,,"LED flash, HDR, panorama",Yes,"50 MP, (wide)",Yes,6500 mAh,45W wired,,,HDR image support,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 50 MP, f/2.4, 70mm (telephoto), AF, OIS, 3x optical zoom 8 MP, f/2.2, 14mm, 112˚ (ultrawide), 1/4.0"", 1.12µm",,,,
tecno,https://www.gsmarena.com/tecno_camon_50_pro-14500.php,Tecno Camon 50 Pro 4G,162.4 x 77 x 7.4 mm (6.39 x 3.03 x 0.29 in),-,Nano-SIM + Nano-SIM,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min) MIL-STD-810 compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 144Hz","6.78 inches, 112.1 cm 2 (~89.6% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~429 ppi density)","Android 16, up to 3 major Android upgrades, HIOS 16",Mediatek Helio G200 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz),Unspecified,256GB 8GB RAM,,,"Dual-LED flash, HDR, panorama",1080p@30fps,"32 MP, f/2.5, (wide)",1080p@30fps,6150 mAh,45W wired,,Unspecified,HDR image support,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 50 MP, f/2.4, 70mm (telephoto), AF, OIS, 3x optical zoom 8 MP, f/2.2, 14mm, 112˚ (ultrawide)",,,,
tecno,https://www.gsmarena.com/tecno_camon_50-14501.php,Tecno Camon 50 4G,162.4 x 77.2 x 7.5 mm (6.39 x 3.04 x 0.30 in),-,Nano-SIM + Nano-SIM,IP68/IP69K dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min) MIL-STD-810 compliant* * does not guarantee ruggedness or use in extreme conditions,"AMOLED, 144Hz","6.78 inches, 112.1 cm 2 (~89.4% screen-to-body ratio)","1208 x 2644 pixels, 19.5:9 ratio (~429 ppi density)","Android 16, up to 3 major Android upgrades, HIOS 16",Mediatek Helio G200 Ultimate (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz),Unspecified,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,,"Dual-LED flash, HDR, panorama",1080p@30fps,"32 MP, f/2.5, (wide)",1080p@30fps,6150 mAh,45W wired,,Unspecified,HDR image support,,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 8 MP, f/2.2, 14mm, 112˚ (ultrawide), AF",,,
tecno,https://www.gsmarena.com/tecno_pova_curve_2_5g-14384.php,Tecno Pova Curve 2,162.7 x 77.2 x 7.4 mm (6.41 x 3.04 x 0.29 in),195 g (6.88 oz),Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes),"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 1600 nits (HBM), 4500 nits (peak)","6.78 inches, 89.3 cm 2 (~71.1% screen-to-body ratio)","1080 x 2364 pixels, 19.5:9 ratio (~429 ppi density)","Android 16, HIOS 16",Mediatek Dimensity 7100 (6 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC2,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 2.2,,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",13 MP,1080p@30fps,8000 mAh,"45W wired, 50% in 36 min Bypass charging",,Corning Gorilla Glass 7i,Drop resistant up to 1.5m,,"50 MP, f/1.8, (wide), PDAF 2 MP (macro)",,,
tecno,https://www.gsmarena.com/tecno_spark_go_3-14420.php,Tecno Spark Go 3,167.7 x 77.8 x 8.1 mm (6.60 x 3.06 x 0.32 in),-,Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Drop resistant up to 1.2m,"IPS LCD, 120Hz","6.74 inches, 109.7 cm 2 (~84.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)","Android 15, HIOS 15",Unisoc T7250 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM",,13 MP,Dual-LED,Yes,8 MP,Yes,Li-Po 5000 mAh,15W wired,"Glass front, plastic back, plastic frame",,,,,,,
tecno,https://www.gsmarena.com/tecno_megapad_se-14488.php,Tecno Megapad SE,254.7 x 165.7 x 7 mm (10.03 x 6.52 x 0.28 in),498 g (1.10 lb),Nano-SIM + Nano-SIM (cellular model only),,"IPS LCD, 90Hz, 440 nits","11.0 inches, 347.5 cm 2 (~82.3% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~207 ppi density)",Android 15,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,microSDXC,"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",UFS 2.2,8 MP,"LED flash, HDR, panorama",1080p@30fps,5 MP,Yes,8000 mAh,18W wired,"Glass front, aluminum frame, aluminum back",,,,,HDR,,
