brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | Build,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Memory | ,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Main Camera | Single,Selfie camera | Features,Display | Protection,Main Camera | Triple,Display | ,Main Camera | Quad,Selfie camera | Dual
vivo,https://www.gsmarena.com/vivo_iqoo_z11_5g-14654.php,vivo iQOO Z11,163.7 x 76.2 x 8.3 mm (6.44 x 3.00 x 0.33 in),213 g  (7.51 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"AMOLED, 1B colors, 144Hz, 2160Hz PWM, HDR, 800 nits (typ), 2000 nits (HBM), 5000 nits (peak)","6.83 inches, 112.6 cm 2 (~90.3% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~450 ppi density)","Android 16, Origin OS 6.0",Qualcomm Snapdragon 7s Gen 4,Octa-core (1x2.7 GHz Kryo Prime + 3x2.4 GHz Kryo Gold + 4x1.8 GHz Kryo Silver),Adreno 810,No,"256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"50 MP, f/1.8, (wide), 1/1.95"", PDAF, OIS Auxiliary lens","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","32 MP, f/2.0, (wide)","4K@30fps, 1080p@30fps",Si/C Li-Ion 9020 mAh,"90W wired, 50% in 37 min 7.5W reverse wired Bypass charging",,,,,,,
vivo,https://www.gsmarena.com/vivo_y600_pro_5g_(china)-14634.php,vivo Y600 Pro,163.9 x 76.5 x 8.2 mm (6.45 x 3.01 x 0.32 in),221 g or 223 g (7.80 oz),,Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 24 hours),"AMOLED, 1B colors, 120Hz, 4320 PWM","6.83 inches, 112.6 cm 2 (~89.8% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~450 ppi density)","Android 16, OriginOS 6",Mediatek Dimensity 7300e (6 nm),Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM",UFS 3.1,,"LED flash, panorama, HDR","1080p, gyro-EIS","32 MP, f/2.5, (wide)",1080p,Si/C Li-Ion 10200 mAh,90W wired Reverse wired,"50 MP, f/1.8, (wide), PDAF",Panorama,,,,,
vivo,https://www.gsmarena.com/vivo_y500s_5g-14631.php,vivo Y500s,166.6 x 78.4 x 8.4 mm (6.56 x 3.09 x 0.33 in),219 g (7.72 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"IPS LCD, 120Hz, 1000 nits (HBM), 1200 nits (peak)","6.75 inches, 111.4 cm 2 (~85.3% screen-to-body ratio)","720 x 1570 pixels, 19.5:9 ratio (~256 ppi density)","Android 16, OriginOS 6",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM",UFS 3.1,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.1, (wide)",1080p@30fps,Si/C Li-Ion 7200 mAh,44W wired Reverse wired,"50 MP, f/1.8, (wide), PDAF",,,,,,
vivo,https://www.gsmarena.com/vivo_y6_5g-14632.php,vivo Y6,166.6 x 78.4 x 8.4 mm (6.56 x 3.09 x 0.33 in),219 g (7.72 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"IPS LCD, 120Hz, 1000 nits (HBM), 1200 nits (peak)","6.75 inches, 111.4 cm 2 (~85.3% screen-to-body ratio)","720 x 1570 pixels, 19.5:9 ratio (~256 ppi density)","Android 16, OriginOS 6",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.1, (wide)",1080p@30fps,Si/C Li-Ion 7200 mAh,44W wired Reverse wired,"50 MP, f/2.2, (wide)",,,,,,
vivo,https://www.gsmarena.com/vivo_y6t_5g-14649.php,vivo Y6t,167.4 x 77.1 x 8.4 mm (6.59 x 3.04 x 0.33 in),209 g (7.37 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets) MIL-STD-810H compliant* * does not guarantee ruggedness or use in extreme conditions,"IPS LCD, 120Hz, 1200 nits (HBM)","6.74 inches, 109.7 cm 2 (~85.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)","Android 16, OriginOS 6",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (dedicated slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM",UFS 3.1,,"LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",1080p@30fps,Li-Ion 6500 mAh,15W wired Reverse wired,"13 MP, f/2.2, (wide), AF",,,,,,
vivo,https://www.gsmarena.com/vivo_y60_5g-14633.php,vivo Y60,167.4 x 77.1 x 8.4 mm (6.59 x 3.04 x 0.33 in),209 g (7.37 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP65 dust tight and water resistant (low pressure water jets),"IPS LCD, 120Hz, 1200 nits (HBM)","6.74 inches, 109.7 cm 2 (~85.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)","Android 16, OriginOS 6",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,No,"128GB 6GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",UFS 3.1,,"LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",1080p@30fps,6500 mAh,15W wired Reverse wired,"13 MP, f/2.2, (wide), AF",,,,,,
vivo,https://www.gsmarena.com/vivo_x300_fe_5g-14491.php,vivo X300 FE,150.8 x 71.8 x 8.2 mm (5.94 x 2.83 x 0.32 in),190.2 g (6.70 oz),"Glass front, aluminum frame, glass back",· Nano-SIM + Nano-SIM · Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, 5000 nits (peak)","6.31 inches, 97.6 cm 2 (~90.2% screen-to-body ratio)","1216 x 2640 pixels, 19.5:9 ratio (~461 ppi density)","Android 16, up to 5 major Android upgrades, OriginOS 6",Qualcomm SM8845 Snapdragon 8 Gen 5 (3 nm),Octa-core (2x3.8 GHz Oryon V3 Phoenix L + 6x3.32 GHz Oryon V3 Phoenix M),Adreno 829,No,"256GB 12GB RAM, 512GB 12GB RAM",UFS 4.1,,"Zeiss optics, Multi-focus LED flash, panorama, HDR","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120fps; gyro-EIS, OIS","50 MP, f/2.0, 20mm (wide), 1/2.76"", 0.64µm, AF","4K, 1080p",Si/C Li-Ion 6500 mAh,"90W wired, PD, 100% in 55 min 40W wireless Reverse wireless Reverse wired Bypass charging",,"Zeiss optics, HDR",Mohs level 4,"50 MP, f/1.6, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 50 MP, f/2.7, 73mm (periscope telephoto), 1/1.95"", 0.8µm, PDAF, OIS, 3x optical zoom 8 MP, f/2.2, 15mm, 115˚ (ultrawide), 1/4.0"", 1.12µm Optional add-on zoom lenses: 200mm, 2.35x optical zoom, Zeiss optics",,,
vivo,https://www.gsmarena.com/vivo_t5_pro_5g-14599.php,vivo T5 Pro,163.7 x 76.2 x 8.3 mm (6.44 x 3.00 x 0.33 in),213 g  (7.51 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"AMOLED, 144Hz, 5000 nits (peak)","6.83 inches, 112.6 cm 2 (~90.3% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~450 ppi density)","Android 16, Origin OS 6.0",Qualcomm Snapdragon 7s Gen 4,Octa-core (1x2.7 GHz Kryo Prime + 3x2.4 GHz Kryo Gold + 4x1.8 GHz Kryo Silver),Adreno 810,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"50 MP, f/1.8, (wide), 1/1.95"", PDAF Auxiliary lens","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","32 MP, f/2.0, (wide)","4K@30fps, 1080p@30fps",Si/C Li-Ion 9020 mAh,"90W wired, 50% in 37 min Reverse wired Bypass charging",,,,,,,
vivo,https://www.gsmarena.com/vivo_x300_ultra_5g-14388.php,vivo X300 Ultra,163 x 76.8 x 8.2 mm or 8.5 mm,232 g or 237 g (8.18 oz),"Glass front, glass back, aluminum frame",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) - International · Nano-SIM + Nano-SIM - China,IP68/IP69 dust tight and water resistant (immersible up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 144Hz, 2160Hz PWM, Dolby Vision, HDR10+, HDR Vivid","6.82 inches, 113.0 cm 2 (~90.3% screen-to-body ratio)",1440 x 3168 pixels (~510 ppi density),"Android 16, OriginOS 6",Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.1,,"Laser AF, color spectrum sensor, Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import","8K@30fps, 4K@24/30/60/120fps (10-bit Log, Dolby Vision HDR), 1080p@30/60/120/240fps, gyro-EIS, HDR10+","50 MP, f/2.5, 24mm (wide), 1/2.76"", 0.64µm, AF","4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR",Si/C Li-Ion 6600 mAh (International) or 6400 mAh (Europe),"100W wired, PD, PPS, QC, UFCS 40W wireless Reverse wired Reverse wireless",,HDR,"Armor glass, Mohs level 4","200 MP, f/1.9, 35mm (wide), 1/1.12"", 0.7µm, PDAF, gimbal OIS 200 MP, f/2.7, 85mm (periscope telephoto), 1/1.4"", 0.56µm, multi-directional PDAF, OIS, 3.7x optical zoom, macro 3.4:1 50 MP, f/2.0, 14mm, 116˚ (ultrawide), 1/1.28"", 1.22µm, dual pixel PDAF, OIS Optional add-on zoom lenses: 200mm, 2.35x optical zoom, OIS, Zeiss optics 400mm, 4.7x optical zoom, OIS, Zeiss optics",Ultra HDR image support,,
vivo,https://www.gsmarena.com/vivo_x300s_5g-14557.php,vivo X300s,162 x 75.5 x 8 mm (6.38 x 2.97 x 0.31 in),217 g (7.65 oz),"Glass front, aluminum frame, glass back",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) - International · Nano-SIM + Nano-SIM - China,IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 144Hz, 2160Hz PWM, HDR10+, HDR Vivid","6.78 inches, 111.5 cm 2 (~91.1% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~452 ppi density)","Android 16, up to 5 major Android upgrades, OriginOS 6",Mediatek Dimensity 9500 (3 nm),Octa-core (1x4.21 GHz C1-Ultra & 3x3.5 GHz C1-Premium & 4x2.7 GHz C1-Pro),Arm G1-Ultra,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",UFS 4.1,,"Color spectrum sensor, Laser AF, Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import","4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, 4K@120fps HDR","50 MP, f/2.0, 20mm (wide), 1/2.76"", 0.64µm, AF","4K@30/60fps, 1080p@30/60fps",Si/C Li-Ion 7100 mAh,90W wired 40W wireless Reverse wired,,HDR,Reinforced Glass,"200 MP, f/1.7, 23mm (wide), 1/1.4"", 0.56µm, PDAF, OIS 50 MP, f/2.6, 70mm (periscope telephoto), 1/1.95"", PDAF, OIS, 3x optical zoom 50 MP, f/2.0, 15mm, 119˚ (ultrawide), 1/2.76"", 0.64µm, AF Optional add-on zoom lenses: 200mm, 2.35x optical zoom, Zeiss optics",Ultra HDR image support,,
