brand,gsmarena_url,name,Body | Dimensions,Body | Weight,Body | SIM,Body | ,Display | Type,Display | Size,Display | Resolution,Display | Protection,Platform | OS,Platform | Chipset,Platform | CPU,Platform | GPU,Memory | Card slot,Memory | Internal,Main Camera | Dual,Main Camera | Features,Main Camera | Video,Selfie camera | Single,Selfie camera | Video,Battery | Type,Battery | Charging,Display | ,Main Camera | Single,Body | Build,Memory | ,Selfie camera | Features,Main Camera | Triple,Selfie camera | Dual,Main Camera | Quad
zte,https://www.gsmarena.com/zte_nubia_neo_5_gt_5g-14524.php,ZTE nubia Neo 5 GT,-,-,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Pressure sensitive zones (550Hz touch-sensing) Built-in cooling fan RGB light (on the back),"AMOLED, 144Hz, 4500 nits (peak)","6.8 inches, 111.6 cm 2","1224 x 2720 pixels, 20:9 ratio (~439 ppi density)",Mohs level 4,Android 16,Mediatek Dimensity 7400 (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, (wide), PDAF Auxiliary lens","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",16 MP,1080p@30fps,6210 mAh,"80W wired (ROW) 45W wired, PD (Europe) Bypass charging",,,,,,,,
zte,https://www.gsmarena.com/zte_nubia_neo_5_pro_5g-14594.php,ZTE nubia Neo 5 Pro,-,-,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Pressure sensitive zones (550Hz touch-sensing) RGB light (on the back),"AMOLED, 120Hz","6.8 inches, 111.6 cm 2","1080 x 2400 pixels*, 20:9 ratio (~387 ppi density)",,Android 16,,,,No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, (wide), PDAF Auxiliary lens","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",16 MP,1080p@30fps,6000 mAh,80W wired Bypass charging,* Display resolution is not officially revealed,,,,,,,
zte,https://www.gsmarena.com/zte_nubia_neo_5_5g-14595.php,ZTE nubia Neo 5,-,-,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP64 dust tight and water resistant (water splashes) Pressure sensitive zones (550Hz touch-sensing) RGB light (on the back),"IPS LCD, 120Hz, 1000 nits (HBM)","6.8 inches, 113.9 cm 2","900 x 1940 pixels, 19.5:9 ratio (~314 ppi density)",,Android 16,Unisoc T9300 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G57 MP2,microSDXC,256GB 8GB RAM,"50 MP, (wide), PDAF Auxiliary lens","LED flash, HDR, panorama","4K@30fps, 1080p@30fps",16 MP,1080p@30fps,6050 mAh,45W wired Bypass charging,,,,,,,,
zte,https://www.gsmarena.com/zte_blade_x1001-14525.php,ZTE Blade X1001,238.4 x 148.4 x 8 mm (9.39 x 5.84 x 0.31 in),-,Nano-SIM + Nano-SIM,,IPS LCD,"10.1 inches, 295.8 cm 2 (~83.6% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Mohs level 4,Android 14,Unisoc T606 (12 nm),Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unspecified,64GB 4GB RAM,,LED flash,Yes,2 MP,Yes,6000 mAh,10W wired,,"5 MP, AF",,,,,,
zte,https://www.gsmarena.com/zte_blade_v80_max-14449.php,zte_blade_v80_max-14449.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zte,https://www.gsmarena.com/zte_nubia_redmagic_11_air_5g-14430.php,ZTE nubia RedMagic 11 Air,163.8 x 76.5 x 8 mm (6.45 x 3.01 x 0.31 in),207 g (7.30 oz),Nano-SIM + Nano-SIM,Pressure sensitive zones (520Hz touch-sensing) Built-in cooling fan Aviation aluminum middle frame IP54 dust protected and water resistant (water splashes) Illuminated RGB logo and fan lights (on the back),"AMOLED, 1B colors, 144Hz, 2592Hz PWM, 1800 nits (peak)","6.85 inches, 113.7 cm 2 (~90.7% screen-to-body ratio)",1216 x 2688 pixels (~431 ppi density),Corning Gorilla Glass 7i,"Android 16, Redmagic OS 11",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,"256GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.9, 23mm (wide), 1/1.55"", 1.0µm, PDAF, OIS 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR","16 MP, f/2.0, (wide), 1/2.77"", 1.12µm, under display",1080p@30/60fps,Si/C Li-Ion 7000 mAh,80W wired 120W wired - China only Bypass charging,,,"Glass front (Gorilla Glass 7i), aluminum allow frame, glass back (Gorilla Glass 5)",UFS 4.1,HDR,,,
zte,https://www.gsmarena.com/zte_pad_5g_x1102n-14354.php,ZTE Pad,256.9 x 168.4 x 7.7 mm (10.11 x 6.63 x 0.30 in),521.5 g (1.15 lb),Nano-SIM,,"IPS LCD, 90Hz","11.0 inches, 350.9 cm 2 (~81.1% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",Mohs level 4,Android 15,Unisoc T8100 (6 nm),Octa-core (4x2.2 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57,No,256GB 6GB RAM,,LED flash,Yes,5 MP,Yes,Li-Ion 7670 mAh,"21W wired, PD",,13 MP,"Glass front, aluminum frame, aluminum back",,,,,
zte,https://www.gsmarena.com/zte_nubia_fold_5g-14324.php,ZTE Nubia Fold,Unfolded: 160 x 144 x 5.4 mm Folded: 160 x 73 x 11.1 mm,249 g (8.78 oz),Nano-SIM + Nano-SIM + eSIM (max 2 at a time),IP54 dust protected and water resistant (water splashes),"OLED, 120Hz","8.0 inches, 205.0 cm 2 (~89.0% screen-to-body ratio)",2200 x 2480 pixels (~414 ppi density),,Android 15,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,No,256GB 12GB RAM,,"LED flash, HDR, panorama","8K, 4K@30/60fps, 1080p; gyro-EIS, OIS","20 MP, f/2.2, (wide) Cover camera: 20 MP, f/2.2, (wide)","4K@30fps, 1080p@30fps, gyro-EIS",6560 mAh,"55W wired, PD, PPS, 100% in 70 min","Cover display: OLED, 120Hz 6.43 inches, 1172 x 2748 pixels",,,UFS,HDR,"50 MP, (wide), PDAF, OIS 50 MP, (ultrawide), PDAF 5 MP, (macro)",,
zte,https://www.gsmarena.com/zte_nubia_flip3_5g-14325.php,ZTE nubia Flip3,Unfolded: 170 x 76 x 7.5 mm Folded: 87 x 76 x 15.9 mm,187 g (6.60 oz),· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,IP54 dust protected and water resistant (water splashes),"Foldable OLED, 1B colors, 120Hz","6.9 inches, 110.7 cm 2 (~85.7% screen-to-body ratio)","1188 x 2790 pixels, 21:9 ratio (~439 ppi density)",,Android 15,Mediatek Dimensity 7400X (4 nm),Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,No,"128GB 6GB RAM, 256GB 8GB RAM","50 MP, f/1.6, (wide), dual pixel PDAF 12 MP (ultrawide)","Ring LED flash, HDR, panorama","4K, 1080p, gyro-EIS","32 MP, (wide), AF",Yes,4610 mAh,"33W wired, PD3.0, PPS, QC4+","Cover display: OLED, 4 inches, 1188 x 2790 pixels",,"Aluminum frame, glass back",,,,,
zte,https://www.gsmarena.com/zte_blade_v80_pro-14305.php,zte_blade_v80_pro-14305.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
